SongID,ContentCN,ContentEN,RowNum,Chapter,Type
H1,榮耀歸與至高神！榮耀歸神！榮耀歸神！,Glory to God in the highest! Glory to God! Glory to God!,1,1,Verse
H1,榮耀歸與至高神！榮耀歸神！榮耀歸神！,Glory to God in the highest! Glory to God! Glory to God!,2,1,Verse
H1,榮耀歸與至高神！讚美讚美不盡。,Glory to God in the highest! Praise Him forevermore.,3,1,Verse
H1,榮耀歸與至高神！讚美讚美不盡。,Glory to God in the highest! Praise Him forevermore.,4,1,Verse
H1,讚美真神萬福源頭﹐,Praise Him from whom all blessings flow;,5,1,Verse
H1,讚美真神萬福源頭﹐,Praise Him from whom all blessings flow;,6,1,Verse
H1,天下萬有讚祂不休﹐,Praise Him all creatures here below;,7,1,Verse
H1,天下萬有讚祂不休﹐,Praise Him all creatures here below;,8,1,Verse
H1,天上眾軍和聲響應﹕,Praise Him above ye heav'nly hosts;,9,1,Verse
H1,天上眾軍和聲響應﹕,Praise Him above ye heav'nly hosts;,10,1,Verse
H1,讚美聖父、聖子、聖靈。,"Praise Father, Son, and Holy Ghost.",11,1,Verse
H1,讚美聖父、聖子、聖靈。,"Praise Father, Son, and Holy Ghost.",12,1,Verse
H1,榮耀歸與至高神！榮耀歸與至高神！,Glory to God in the highest! Glory to God in the highest!,13,1,Verse
H1,榮耀歸與至高神！榮耀歸與至高神！,Glory to God in the highest! Glory to God in the highest!,14,1,Verse
H1,榮耀﹐榮耀﹐榮耀﹐榮耀﹐榮耀歸與至高神！,"Glory, glory, glory, glory, glory to God in the highest!",15,1,Verse
H1,榮耀﹐榮耀﹐榮耀﹐榮耀﹐榮耀歸與至高神！,"Glory, glory, glory, glory, glory to God in the highest!",16,1,Verse
H1,榮耀﹐榮耀﹐榮耀﹐榮耀﹐榮耀歸與至高神！,"Glory, glory, glory, glory, glory to God in the highest!",17,1,Verse
H1,榮耀﹐榮耀﹐榮耀﹐榮耀﹐榮耀歸與至高神！,"Glory, glory, glory, glory, glory to God in the highest!",18,1,Verse
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",1,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",2,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",3,1,Chorus
