TitleCN,TitleEN,SongID
榮耀歸與至高神,GLORY TO GOD IN THE HIGHEST,H1
主手所造萬象生靈,ALL CREATURES OF OUR GOD AND KING,H10
榮耀之釋放,GLORIOUS FREEDOM,H100
耶穌我主榮耀王,NULL,H100057
我四圍盾牌,A Shield About Me,H1001
來歡呼耶穌,All Hail King Jesus,H1002
諸天宣揚,All Heaven Declares,H1003
如鹿渴慕溪水,As The Deer,H1004
神阿，願祢崇高,"Be Exalted, O God",H1005
多美好,Beautiful,H1006
因祂活著,Because He Lives,H1007
我深信在那各各他山頂,Believe in a Hill Called Mount Calvary,H1008
在天上神的寶座前,Before the Throne of God Above,H1009
釋放﹗榮耀釋放﹗,NULL,H101
頌讚全能的神,Blessed Be The Lord God Almighty,H1010
交託主,Cares Chorus,H1011
更新我心意,"Change My Heart, O God",H1012
我活著為基督,Christ In Me,H1013
來，你這蒙主愛的人,Come Ye Beloved,H1014
來親近我,Commune With Me,H1015
求為我造清潔心,Create In Me A Clean Heart,H1016
引導我親近祢,Draw Me Close to You,H1017
飲於生命活水泉源,Drinking at the Fountain of Life,H1018
一切都在於祢,Every Move I Make,H1019
我今來就主十架,I AM COMING TO THE CROSS,H102
我以禱告來到祢跟前,Every time I Pray,H1020
被殺的羔羊,Exaltation (Worthy Is The Lamb),H1021
信實神,Faithful One,H1022
父神我敬拜祢,"Father, I Adore You",H1023
萬有本於祂,For From Him,H1024
獻上感恩,Give Thanks,H1025
榮耀祢的名,Glorify Thy Name,H1026
神真美善,God is so Good,H1027
祢真偉大,Great Are You Lord,H1028
哈利路亞 阿們,Hallelujah Amen,H1029
祂拯救我,HE LIFTED ME,H103
祂已被尊崇,He Is Exalted,H1030
以感恩的心進祂的門,He Has Made Me Glad (I Will Enter His Gates),H1031
我在此敬拜祢,HERE I AM TO WORSHIP,H1032
聖潔受膏者,Holy And Anointed One,H1033
和散那,Hosanna,H1034
因耶和華是至高,I Exalt Thee,H1035
主我愛祢,I Love You Lord,H1036
我要歌頌祢聖名,I Sing Praises to Your Name,H1037
為著獻上讚美,I was made to praise You,H1038
